source_row,record_date,voyage_id,recipient_username,revenue_florins,salary_florins,catch_summary
968,2023-09-09,501,551sweden,12360,10584,"10 Giant Hermit Crab at 1x, 10 Giant Hermit Crab at 1x, 10 Giant Hermit Crab at 1x, 10 Common Blue Crab at 1x."
969,2023-09-09,502,Tojeko_G,18495,15836,"9 Common Blue Crab at 1,25x, 9 Common Blue Crab at 1,25x, 9 Common Blue Crab at 1,25x, 9 Giant Hermit Crab at 1,25x, 9 Giant Hermit Crab at 1,25x, 9 Giant Hermit Crab at 1,25x."
970,2023-09-09,502,Volorikats,15300,12960,"9 Common Blue Crab at 1,25x, 9 Common Blue Crab at 1,25x, 9 Common Blue Crab at 1,25x, 11 Common Blue Crab at 1,25x, 11 Common Blue Crab at 1,25x, 11 Common Blue Crab at 1,25x."
971,2023-09-10,503,Tojeko_G,18564,15898,"17 Mantis Shrimp at 1x, 17 Mantis Shrimp at 1x, 17 Mantis Shrimp at 1x, 12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x."
972,2023-09-10,503,Ghovxst,18564,15898,"12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x, 17 Mantis Shrimp at 1x, 17 Mantis Shrimp at 1x, 17 Mantis Shrimp at 1x."
973,2023-09-10,504,Tojeko_G,19890,17091,"18 Pistol Shrimp at 1x, 18 Pistol Shrimp at 1x, 18 Pistol Shrimp at 1x, 15 Mantis Shrimp at 1x, 15 Mantis Shrimp at 1x, 15 Mantis Shrimp at 1x."
974,2023-09-10,504,Ghovxst,22104,19084,"12 Giant Hermit Crab at 1x, 12 Giant Hermit Crab at 1x, 12 Giant Hermit Crab at 1x, 10 American Lobster at 1x, 10 American Lobster at 1x, 10 American Lobster at 1x."
975,2023-09-10,505,Tojeko_G,17208,14677,"12 Mantis Shrimp at 1x, 12 Mantis Shrimp at 1x, 12 Mantis Shrimp at 1x, 9 Giant Hermit Crab at 1x, 9 Giant Hermit Crab at 1x, 9 Giant Hermit Crab at 1x."
976,2023-09-10,505,Ghovxst,15600,13230,"8 Giant Hermit Crab at 1x, 8 Giant Hermit Crab at 1x, 8 Giant Hermit Crab at 1x, 12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x."
977,2023-09-10,506,Tojeko_G,10320,8883,"10 Giant Hermit Crab at 1x, 10 Giant Hermit Crab at 1x, 10 Giant Hermit Crab at 1x."
978,2023-09-10,506,Ghovxst,6732,5654,"11 Common Blue Crab at 1x, 11 Common Blue Crab at 1x, 11 Common Blue Crab at 1x."
979,2023-09-10,506,551sweden,6732,5654,"11 Common Blue Crab at 1x, 11 Common Blue Crab at 1x, 11 Common Blue Crab at 1x."
980,2023-09-10,506,Volorikats,9990,8586,"18 Pistol Shrimp at 1x, 18 Pistol Shrimp at 1x, 18 Pistol Shrimp at 1x."
981,2023-09-10,508,eprstbebra,14376,12128,"8 Giant Hermit Crab at 1x, 8 Giant Hermit Crab at 1x, 8 Giant Hermit Crab at 1x, 10 Common Blue Crab at 1x, 10 Common Blue Crab at 1x, 10 Common Blue Crab at 1x."
982,2023-09-10,508,stoomboo,14886,12587,"18 Pistol Shrimp at 1x, 18 Pistol Shrimp at 1x, 18 Pistol Shrimp at 1x, 8 Common Blue Crab at 1x, 8 Common Blue Crab at 1x, 8 Common Blue Crab at 1x."
983,2023-09-10,509,eprstbebra,14943,12639,"9 Common Blue Crab at 1x, 9 Common Blue Crab at 1x, 9 Common Blue Crab at 1x, 17 Pistol Shrimp at 1x, 17 Pistol Shrimp at 1x, 17 Pistol Shrimp at 1x."
984,2023-09-10,509,Volorikats,17535,14972,"13 Pistol Shrimp at 1x, 13 Pistol Shrimp at 1x, 13 Pistol Shrimp at 1x, 10 Giant Hermit Crab at 1x, 10 Giant Hermit Crab at 1x, 10 Giant Hermit Crab at 1x."
985,2023-09-10,510,rzeczka114,9720,8343,"10 American Lobster at 1x, 10 American Lobster at 1x, 10 American Lobster at 1x."
986,2023-09-10,510,Volorikats,7215,6089,"13 Pistol Shrimp at 1x, 13 Pistol Shrimp at 1x, 13 Pistol Shrimp at 1x."
987,2023-09-10,511,Volorikats,8580,7317,"13 Mantis Shrimp at 1x, 13 Mantis Shrimp at 1x, 13 Mantis Shrimp at 1x."
988,2023-09-10,512,joppiesaus_nl,23775,20588,"9 Common Blue Crab at 1,25x, 9 Common Blue Crab at 1,25x, 17 Mantis Shrimp at 1,25x, 17 Mantis Shrimp at 1,25x, 17 Mantis Shrimp at 1,25x, 12 Giant Hermit Crab at 1,25x."
989,2023-09-10,512,stoomboo,24490,21231,"8 Giant Hermit Crab at 1,25x, 8 Giant Hermit Crab at 1,25x, 14 Mantis Shrimp at 1,25x, 12 Giant Hermit Crab at 1,25x, 12 Giant Hermit Crab at 1,25x, 8 Giant Hermit Crab at 1,25x."
990,2023-09-10,512,SpedSantz,22095,19076,"14 Mantis Shrimp at 1,25x, 9 Common Blue Crab at 1,25x, 16 Mantis Shrimp at 1,25x, 14 Mantis Shrimp at 1,25x, 14 Mantis Shrimp at 1,25x, 14 Mantis Shrimp at 1,25x."
991,2023-09-10,513,JamesBond007F,18036,15422,"11 American Lobster at 1x, 11 American Lobster at 1x, 11 American Lobster at 1x, 12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x."
992,2023-09-10,513,Jacolai5814,15840,13446,"10 Common Blue Crab at 1x, 10 Common Blue Crab at 1x, 10 Common Blue Crab at 1x, 10 American Lobster at 1x, 10 American Lobster at 1x, 10 American Lobster at 1x."
993,2023-09-10,514,Jacolai5814,21624,18652,"12 Giant Hermit Crab at 1x, 12 Giant Hermit Crab at 1x, 12 Giant Hermit Crab at 1x, 14 Mantis Shrimp at 1x, 14 Mantis Shrimp at 1x, 14 Mantis Shrimp at 1x."
994,2023-09-10,516,eprstbebra,10920,9288,"9 Giant Hermit Crab at 1x, 9 Giant Hermit Crab at 1x, 9 Giant Hermit Crab at 1x, 8 Common Blue Crab at 1x."
995,2023-09-10,516,stoomboo,13512,11621,"18 Mantis Shrimp at 1x, 18 Mantis Shrimp at 1x, 18 Mantis Shrimp at 1x, 8 Common Blue Crab at 1x."
996,2023-09-10,516,rzeczka114,8976,7538,"12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x, 8 Common Blue Crab at 1x."
997,2023-09-10,518,eprstbebra,11855,10130,"11 Common Blue Crab at 1,25x, 11 Common Blue Crab at 1,25x, 11 Common Blue Crab at 1,25x, 8 Giant Hermit Crab at 1,25x."
998,2023-09-10,518,stoomboo,17630,15327,"11 Giant Hermit Crab at 1,25x, 11 Giant Hermit Crab at 1,25x, 11 Giant Hermit Crab at 1,25x, 8 Giant Hermit Crab at 1,25x."
999,2023-09-10,518,rzeczka114,12620,10818,"12 Common Blue Crab at 1,25x, 12 Common Blue Crab at 1,25x, 12 Common Blue Crab at 1,25x, 8 Giant Hermit Crab at 1,25x."
1000,2023-09-10,519,eprstbebra,9435,7952,"9 Common Blue Crab at 1,25x, 9 Common Blue Crab at 1,25x, 9 Common Blue Crab at 1,25x, 10 Common Blue Crab at 1,25x."
1001,2023-09-10,519,stoomboo,11569,9872,"13 Pistol Shrimp at 1,25x, 13 Pistol Shrimp at 1,25x, 13 Pistol Shrimp at 1,25x, 10 Common Blue Crab at 1,25x."
1002,2023-09-10,519,rzeczka114,9435,7952,"9 Common Blue Crab at 1,25x, 9 Common Blue Crab at 1,25x, 9 Common Blue Crab at 1,25x, 10 Common Blue Crab at 1,25x."
